frame_number,timestamp_ms,frame_len,is_udp,is_rpl,is_ack,mac_src,mac_dst,mac_seq_number,mac_pan_id,mac_fcf,mac_frame_type,mac_security,mac_pending,mac_ack_req,mac_pan_id_comp,mac_dst_mode,mac_src_mode,mac_version,ip_src,ip_dst,udp_src_port,udp_dst_port,udp_len,payload_size,payload_hex,icmp_type,rpl_code,rpl_rank,rpl_version,rpl_instance_id,rpl_mop,rpl_dtsn,rpl_flags,rpl_dao_sequence,rpl_dodagid
1,0,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,166,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,240.0,0.0,,fd00:0:0:0:c30c:0:0:1
2,2038,27,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,52,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
3,5615,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,167,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
4,7369,27,0,1,0,c1:0c:00:00:00:00:00:05,00:00:00:00:00:00:ff:ff,90,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:5,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
5,7545,27,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,128,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
6,9054,97,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,53,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,1.0,512.0,240.0,30.0,16.0,240.0,0.0,,fd00:0:0:0:c30c:0:0:1
7,9663,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,54,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,fd00:0:0:0:c30c:0:0:1
8,9666,5,0,0,1,,,54,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
9,11127,97,0,1,0,c1:0c:00:00:00:00:00:05,00:00:00:00:00:00:ff:ff,91,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:5,ff02::1a,,,,,,155.0,1.0,827.0,240.0,30.0,16.0,240.0,0.0,,fd00:0:0:0:c30c:0:0:1
10,11591,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,168,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,242.0,0.0,,fd00:0:0:0:c30c:0:0:1
