frame_number,timestamp_ms,frame_len,is_udp,is_rpl,is_ack,mac_src,mac_dst,mac_seq_number,mac_pan_id,mac_fcf,mac_frame_type,mac_security,mac_pending,mac_ack_req,mac_pan_id_comp,mac_dst_mode,mac_src_mode,mac_version,ip_src,ip_dst,udp_src_port,udp_dst_port,udp_len,payload_size,payload_hex,rpl_type,rpl_code,rpl_rank,rpl_version,rpl_instance_id,rpl_mop,rpl_dtsn,rpl_flags,rpl_dao_sequence,rpl_dodagid,label
1,0,97,0,1,0,14,255,57,43981.0,55361,1,0,0,0,1,2,3,1,14,255,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,240.0,0.0,,0,0
2,2330,97,0,1,0,26,255,57,43981.0,55361,1,0,0,0,1,2,3,1,26,255,,,,,,155.0,1.0,512.0,240.0,30.0,16.0,240.0,0.0,,0,0
3,2848,97,0,1,0,16,255,57,43981.0,55361,1,0,0,0,1,2,3,1,16,255,,,,,,155.0,1.0,439.0,240.0,30.0,16.0,240.0,0.0,,0,0
4,2886,97,0,1,0,24,255,57,43981.0,55361,1,0,0,0,1,2,3,1,24,255,,,,,,155.0,1.0,512.0,240.0,30.0,16.0,240.0,0.0,,0,0
5,2892,97,0,1,0,25,255,57,43981.0,55361,1,0,0,0,1,2,3,1,25,255,,,,,,155.0,1.0,512.0,240.0,30.0,16.0,240.0,0.0,,0,0
6,3721,97,0,1,0,23,255,57,43981.0,55361,1,0,0,0,1,2,3,1,23,255,,,,,,155.0,1.0,401.0,240.0,30.0,16.0,240.0,0.0,,0,0
7,3737,97,0,1,0,15,255,57,43981.0,55361,1,0,0,0,1,2,3,1,15,255,,,,,,155.0,1.0,460.0,240.0,30.0,16.0,240.0,0.0,,0,0
8,3743,97,0,1,0,19,255,57,43981.0,55361,1,0,0,0,1,2,3,1,19,255,,,,,,155.0,1.0,465.0,240.0,30.0,16.0,240.0,0.0,,0,0
9,3748,97,0,1,0,17,255,57,43981.0,55361,1,0,0,0,1,2,3,1,17,255,,,,,,155.0,1.0,452.0,240.0,30.0,16.0,240.0,0.0,,0,0
10,3753,97,0,1,0,20,255,57,43981.0,55361,1,0,0,0,1,2,3,1,20,255,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
11,3769,97,0,1,0,22,255,57,43981.0,55361,1,0,0,0,1,2,3,1,22,255,,,,,,155.0,1.0,396.0,240.0,30.0,16.0,240.0,0.0,,0,0
12,3841,97,0,1,0,18,255,57,43981.0,55361,1,0,0,0,1,2,3,1,18,255,,,,,,155.0,1.0,452.0,240.0,30.0,16.0,240.0,0.0,,0,0
13,4009,76,0,1,0,26,14,58,43981.0,56417,1,0,0,1,1,3,3,1,26,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
14,4012,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
15,4212,76,0,1,0,25,14,58,43981.0,56417,1,0,0,1,1,3,3,1,25,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
16,4215,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
17,4238,76,0,1,0,24,14,58,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
18,4241,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
19,4251,76,0,1,0,16,14,58,43981.0,56417,1,0,0,1,1,3,3,1,16,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
20,4254,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
21,4516,52,1,0,0,25,14,59,43981.0,56417,1,0,0,1,1,3,3,1,25,14,6001.0,9001.0,19.0,11.0,69643d3132207365713d30,,,,,,,,,,0,0
22,4518,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
23,4520,102,0,1,0,18,14,58,43981.0,56417,1,0,0,1,1,3,3,1,18,14,,,,,,155.0,1.0,452.0,240.0,30.0,16.0,240.0,0.0,,0,0
24,4545,52,1,0,0,14,25,58,43981.0,56417,1,0,0,1,1,3,3,1,14,25,9001.0,6001.0,19.0,11.0,69643d3132207365713d30,,,,,,,,,,0,0
25,4547,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
26,4559,102,0,1,0,19,14,58,43981.0,56417,1,0,0,1,1,3,3,1,19,14,,,,,,155.0,1.0,465.0,240.0,30.0,16.0,240.0,0.0,,0,0
27,4563,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
28,4567,102,0,1,0,18,14,58,43981.0,56417,1,0,0,1,1,3,3,1,18,14,,,,,,155.0,1.0,452.0,240.0,30.0,16.0,240.0,0.0,,0,0
29,4571,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
30,4635,102,0,1,0,23,14,58,43981.0,56417,1,0,0,1,1,3,3,1,23,14,,,,,,155.0,1.0,401.0,240.0,30.0,16.0,240.0,0.0,,0,0
31,4644,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
32,4648,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
33,4651,102,0,1,0,23,14,58,43981.0,56417,1,0,0,1,1,3,3,1,23,14,,,,,,155.0,1.0,401.0,240.0,30.0,16.0,240.0,0.0,,0,0
34,4655,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
35,4754,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
36,4757,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
37,4772,102,0,1,0,22,14,58,43981.0,56417,1,0,0,1,1,3,3,1,22,14,,,,,,155.0,1.0,396.0,240.0,30.0,16.0,240.0,0.0,,0,0
38,4775,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
39,4793,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
40,4796,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
41,4832,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
42,4835,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
43,4863,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
44,4867,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
45,4886,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
46,4890,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
47,4901,102,0,1,0,23,14,59,43981.0,56417,1,0,0,1,1,3,3,1,23,14,,,,,,155.0,1.0,396.0,240.0,30.0,16.0,240.0,0.0,,0,0
48,4903,76,0,1,0,18,14,59,43981.0,56417,1,0,0,1,1,3,3,1,18,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
49,4908,102,0,1,0,23,14,59,43981.0,56417,1,0,0,1,1,3,3,1,23,14,,,,,,155.0,1.0,396.0,240.0,30.0,16.0,240.0,0.0,,0,0
50,4911,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
51,4919,76,0,1,0,18,14,59,43981.0,56417,1,0,0,1,1,3,3,1,18,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
52,4921,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
53,4924,76,0,1,0,15,14,58,43981.0,56417,1,0,0,1,1,3,3,1,15,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
54,4927,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
55,4933,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
56,4938,76,0,1,0,19,14,59,43981.0,56417,1,0,0,1,1,3,3,1,19,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
57,4941,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
58,4948,102,0,1,0,23,14,59,43981.0,56417,1,0,0,1,1,3,3,1,23,14,,,,,,155.0,1.0,396.0,240.0,30.0,16.0,240.0,0.0,,0,0
59,4951,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
60,4964,102,0,1,0,24,14,59,43981.0,56417,1,0,0,1,1,3,3,1,24,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
61,4968,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
62,4970,102,0,1,0,16,14,59,43981.0,56417,1,0,0,1,1,3,3,1,16,14,,,,,,155.0,1.0,439.0,240.0,30.0,16.0,240.0,0.0,,0,0
63,4981,76,0,1,0,17,14,58,43981.0,56417,1,0,0,1,1,3,3,1,17,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
64,4984,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
65,5001,102,0,1,0,16,14,59,43981.0,56417,1,0,0,1,1,3,3,1,16,14,,,,,,155.0,1.0,439.0,240.0,30.0,16.0,240.0,0.0,,0,0
66,5005,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
67,5021,76,0,1,0,22,14,59,43981.0,56417,1,0,0,1,1,3,3,1,22,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
68,5024,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
69,5027,76,0,1,0,20,14,58,43981.0,56417,1,0,0,1,1,3,3,1,20,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
70,5030,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
71,5041,102,0,1,0,15,14,59,43981.0,56417,1,0,0,1,1,3,3,1,15,14,,,,,,155.0,1.0,460.0,240.0,30.0,16.0,240.0,0.0,,0,0
72,5045,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
73,5067,51,1,0,0,18,14,60,43981.0,56417,1,0,0,1,1,3,3,1,18,14,6001.0,9001.0,18.0,10.0,69643d35207365713d30,,,,,,,,,,0,0
74,5069,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
75,5080,76,0,1,0,23,14,60,43981.0,56417,1,0,0,1,1,3,3,1,23,14,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
76,5083,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
77,5110,51,1,0,0,14,18,59,43981.0,56417,1,0,0,1,1,3,3,1,14,18,9001.0,6001.0,18.0,10.0,69643d35207365713d30,,,,,,,,,,0,0
78,5112,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
79,5118,102,0,1,0,19,14,60,43981.0,56417,1,0,0,1,1,3,3,1,19,14,,,,,,155.0,1.0,465.0,240.0,30.0,16.0,240.0,0.0,,0,0
80,5120,52,1,0,0,24,14,60,43981.0,56417,1,0,0,1,1,3,3,1,24,14,6001.0,9001.0,19.0,11.0,69643d3131207365713d30,,,,,,,,,,0,0
81,5125,102,0,1,0,19,14,60,43981.0,56417,1,0,0,1,1,3,3,1,19,14,,,,,,155.0,1.0,465.0,240.0,30.0,16.0,240.0,0.0,,0,0
82,5129,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
83,5167,52,1,0,0,24,14,60,43981.0,56417,1,0,0,1,1,3,3,1,24,14,6001.0,9001.0,19.0,11.0,69643d3131207365713d30,,,,,,,,,,0,0
84,5169,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
85,5241,52,1,0,0,14,24,60,43981.0,56417,1,0,0,1,1,3,3,1,14,24,9001.0,6001.0,19.0,11.0,69643d3131207365713d30,,,,,,,,,,0,0
86,5243,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
87,5427,102,0,1,0,17,14,59,43981.0,56417,1,0,0,1,1,3,3,1,17,14,,,,,,155.0,1.0,452.0,240.0,30.0,16.0,240.0,0.0,,0,0
88,5431,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
89,5588,102,0,1,0,15,14,60,43981.0,56417,1,0,0,1,1,3,3,1,15,14,,,,,,155.0,1.0,370.0,240.0,30.0,16.0,240.0,0.0,,0,0
90,5592,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
91,5808,97,0,1,0,21,255,57,43981.0,55361,1,0,0,0,1,2,3,1,21,255,,,,,,155.0,1.0,776.0,240.0,30.0,16.0,240.0,0.0,,0,0
92,5900,102,0,1,0,16,14,60,43981.0,56417,1,0,0,1,1,3,3,1,16,14,,,,,,155.0,1.0,390.0,240.0,30.0,16.0,240.0,0.0,,0,0
93,5904,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
94,5908,102,0,1,0,26,14,59,43981.0,56417,1,0,0,1,1,3,3,1,26,14,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,240.0,0.0,,0,0
95,5912,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
96,6002,52,1,0,0,23,14,61,43981.0,56417,1,0,0,1,1,3,3,1,23,14,6001.0,9001.0,19.0,11.0,69643d3130207365713d30,,,,,,,,,,0,0
97,6004,5,0,0,1,0,0,61,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
98,6032,52,1,0,0,14,23,61,43981.0,56417,1,0,0,1,1,3,3,1,14,23,9001.0,6001.0,19.0,11.0,69643d3130207365713d30,,,,,,,,,,0,0
99,6034,5,0,0,1,0,0,61,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
100,6130,51,1,0,0,22,14,60,43981.0,56417,1,0,0,1,1,3,3,1,22,14,6001.0,9001.0,18.0,10.0,69643d39207365713d30,,,,,,,,,,0,0
101,6169,51,1,0,0,22,14,60,43981.0,56417,1,0,0,1,1,3,3,1,22,14,6001.0,9001.0,18.0,10.0,69643d39207365713d30,,,,,,,,,,0,0
102,6172,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
103,6233,51,1,0,0,14,22,62,43981.0,56417,1,0,0,1,1,3,3,1,14,22,9001.0,6001.0,18.0,10.0,69643d39207365713d30,,,,,,,,,,0,0
104,6235,5,0,0,1,0,0,62,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
105,6415,52,1,0,0,26,14,60,43981.0,56417,1,0,0,1,1,3,3,1,26,14,6001.0,9001.0,19.0,11.0,69643d3133207365713d30,,,,,,,,,,0,0
106,6417,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
107,6444,52,1,0,0,14,26,63,43981.0,56417,1,0,0,1,1,3,3,1,14,26,9001.0,6001.0,19.0,11.0,69643d3133207365713d30,,,,,,,,,,0,0
108,6446,5,0,0,1,0,0,63,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
109,6761,102,0,1,0,21,26,58,43981.0,56417,1,0,0,1,1,3,3,1,21,26,,,,,,155.0,1.0,776.0,240.0,30.0,16.0,240.0,0.0,,0,0
110,6764,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
